type,x,y,10:3c:59:76:a2:7e,12:bb:f3:82:05:5a,14:77:40:57:6d:8c,26:e9:74:dd:11:7a,32:8d:15:76:f1:7f,44:2a:8f:06:5f:5a,4a:01:ea:19:99:5a,4a:bf:6e:b9:aa:5c,4c:81:25:01:60:a8,52:d0:21:8b:42:a0,62:00:b7:d7:42:fa,62:fc:c6:87:6d:c1,88:1f:a1:3e:6e:02,98:25:4a:84:aa:d0,98:a9:42:cf:3e:68,98:ba:5f:a8:42:c0,98:ba:5f:a8:42:c2,b4:1c:30:12:00:a9,be:1e:a4:86:d7:bf,d0:27:87:61:6c:6e,d8:84:66:7f:45:98,d8:84:66:85:9c:b8,d8:84:66:85:9c:ba,d8:84:66:95:9b:a8,d8:84:66:c6:9e:00,d8:84:66:c6:9e:08,d8:84:66:c6:9e:50,d8:84:66:c6:9f:20,d8:84:66:c6:9f:28,d8:84:66:c6:be:10,d8:84:66:c6:be:18,ea:42:7c:27:d2:e6,ee:78:b0:dd:87:8f
walk,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39999999999999947,0.0,0.0,0.6099999999999999,0.0,0.12962962962962954,0.0,0.0,0.34615384615384626,0.0,0.2777777777777777,0.4423076923076923,0.0,0.0,0.9005847953216373,0.0,0.4905660377358494,0.3656250000000001,0.3571428571428572,0.3347338935574229,0.35000000000000003,0.4558823529411764,0.2962962962962963,0.4166666666666667,0.6156862745098038,0.451781970649895,0.3650793650793651,0.7249999999999996
walk,1.001925,0.5794125,0.0,0.0,0.0,0.0,0.0,0.4549019607843131,0.0,0.0,0.5262745098039214,0.0,0.11183732752360195,0.0,0.0,0.2986425339366517,0.0,0.35227082285905803,0.5030165912518854,0.0,0.0,0.7769751175323929,0.0,0.423233444321125,0.41580882352941184,0.3865546218487396,0.41797111001263243,0.38660130718954255,0.5063437139561706,0.25562817719680464,0.35947712418300654,0.5311803152633602,0.40013154108603594,0.31497043261749147,0.625490196078431
walk,1.0022,0.6621857142857143,0.0,0.0,0.0,0.0,0.0,0.39692446856625907,0.0,0.0,0.5002148349163273,0.0,0.07739082365948033,0.0,0.0519197995504675,0.20665901262916198,0.0,0.3280102981595518,0.4389068642799986,0.0,0.0,0.6301242326379796,0.08213478064224339,0.29287524640946233,0.36281377204884674,0.3261614007882666,0.44021679228000554,0.37875018845168107,0.43493761140819953,0.2719567147427844,0.3770918136589778,0.5366749141990581,0.44348298530219105,0.21795782989812842,0.504703753957485
walk,1.0025666666666666,0.7725499999999998,0.0,0.0,0.0,0.0,0.0,0.363776961032246,0.0,0.0,0.47047127715772546,0.0,0.07968847110814713,0.0,0.08160393870382766,0.2127944887832942,0.0,0.36416504484751433,0.4022533703721956,0.0,0.0,0.46977262648365403,0.12909374964876205,0.30157038661951135,0.33251487844353783,0.3643402264301211,0.506990727189708,0.4407080209656331,0.4789379487169314,0.28129223962697786,0.40601275821459926,0.5389847231561021,0.4474621049937195,0.2432788425977218,0.3762686718144112
walk,1.0025666666666666,0.77255,0.0,0.0,0.0,0.0,0.0,0.34207401032952556,0.0,0.0,0.5068689340654129,0.0,0.08119282944517983,0.0,0.10103928864792261,0.21681162148548044,0.0,0.36682529227413607,0.3782549152682259,0.0,0.0,0.36478424990968733,0.15983959647761603,0.30726343002973755,0.3126770250668324,0.3893373750073616,0.5258782356498835,0.481274201795909,0.5077466653462166,0.3315502746279124,0.45391903550231916,0.5404970441013796,0.4697455451710358,0.3059739830533799,0.29217727358814133
walk,1.0044,1.3243714285714283,0.0,0.0,0.0,0.0,0.0,0.38115627171843913,0.0,0.0,0.5122767152571766,0.0,0.09992007013098084,0.0,0.08039274537113085,0.2668195279321799,0.0,0.41674307968155777,0.4214708773809669,0.0,0.0,0.29024360435252733,0.1271776964367364,0.3781341737571355,0.34840065461763625,0.45573788157674416,0.5535342151390166,0.5259690103085424,0.5903044116462788,0.30416451613328466,0.47090351192462304,0.5168627888575187,0.43287466059618485,0.41535726603615053,0.23247326335254853
walk,1.0051333333333334,1.5451,0.0,0.0,0.0,0.0,0.0,0.4103793643673226,0.0,0.0,0.5275222449106602,0.0,0.09732755709652033,0.0,0.06495464569074694,0.2598966634555436,0.0,0.41631807784759267,0.4537848740600207,0.0,0.0,0.29215459251412995,0.1027553191979937,0.3683231540795545,0.37511238774200634,0.4505210127221929,0.5334220727008475,0.5092467104486436,0.5880243904796125,0.28368728351400047,0.4693786605736565,0.4998182390771015,0.4210059387489958,0.43618373188625537,0.23263842559491457
walk,1.005775,1.7382375,0.0,0.0,0.0,0.0,0.0,0.3839480347018174,0.0,0.0,0.5393195487311456,0.0,0.09532141728890071,0.0,0.05300832723018699,0.25453960880442744,0.0,0.3986977813754017,0.424557922987587,0.0,0.0,0.2936333543841464,0.08385678232504773,0.3607311856431719,0.35095250046963045,0.4114521220225667,0.4974235678859719,0.4585013167128169,0.5357728117157377,0.26784158053724316,0.4681986992946911,0.4866288165504122,0.42801570222259405,0.452299678706411,0.23276623152866377
walk,1.0066,1.986557142857143,0.0,0.0,0.0,0.0,0.0,0.3630160234134013,0.0,0.0,0.5580819109087833,0.0,0.09373267613850608,0.0,0.07363302135593243,0.25029714617205495,0.0,0.3824554094253129,0.40141194896674226,0.0,0.0,0.3483822955005507,0.11648411799464807,0.35471880673440087,0.3318193339013126,0.38334489442893643,0.46930377216795643,0.4160830793206389,0.49614250113461433,0.3103781972795107,0.46781509600253796,0.4788665788256324,0.4421728129627183,0.4650625319200828,0.2745120487091616
walk,1.0077,2.31765,0.0,0.0,0.0,0.0,0.0,0.39278549038192534,0.0,0.0,0.5819164814509232,0.0,0.09245446301181456,0.0,0.09022650781467807,0.24688389573484573,0.0,0.4007599491986199,0.4343301095569372,0.0,0.0,0.33995970983714524,0.1427342649940472,0.34988157969969763,0.35903048730222914,0.3940243787211287,0.4820947577612112,0.4178844138865157,0.5122392405678308,0.37912687982315596,0.467506470042072,0.43492208277613725,0.44147057022708786,0.5113982362630927,0.2673144925255695
walk,1.0088,2.648742857142857,0.0,0.0,0.0,0.0,0.0,0.41699749161395633,0.0,0.0,0.5582343454645213,0.0,0.0914148710758563,0.0,0.10372226556565262,0.28386216948533727,0.0,0.4347883072206807,0.46110299553466383,0.0,0.0,0.3331094812228782,0.1640839449249122,0.4022868481595137,0.3811617696783825,0.45192982330307746,0.5330317020400851,0.4643307539090474,0.5827539024182287,0.40101292850078146,0.4449243251597028,0.4273297838657823,0.40622898429485704,0.513536313255631,0.26146060070516836
